,article_id,product_type_no,graphical_appearance_no,colour_group_code,perceived_colour_value_id,perceived_colour_master_id,index_group_no,section_no,garment_group_no,cluster,img_name
19633,584771001,87,1010016,9,4,5,3,27,1020,98,058/0584771001.jpg
63442,739268002,257,1010016,10,3,9,3,23,1003,104,073/0739268002.jpg
74510,777070003,252,1010010,15,4,1,1,15,1003,65,077/0777070003.jpg
25648,613837003,254,1010016,10,3,-1,1,97,1001,115,061/0613837003.jpg
4455,484398056,273,1010001,81,1,7,26,5,1005,385,048/0484398056.jpg
1721,372860063,302,1010010,71,3,2,1,62,1021,142,037/0372860063.jpg
78890,795885005,252,1010016,9,4,5,1,6,1003,65,079/0795885005.jpg
77621,790450001,258,1010021,10,3,9,1,15,1010,75,079/0790450001.jpg
59840,725221003,275,1010010,7,1,12,4,76,1003,97,072/0725221003.jpg
14956,564792001,255,1010016,9,4,5,26,5,1005,156,056/0564792001.jpg
6672,507987001,80,1010016,9,4,5,2,52,1019,175,050/0507987001.jpg
80344,801801002,274,1010001,51,3,4,4,76,1009,228,080/0801801002.jpg
94339,861978001,76,1010016,12,1,11,4,45,1019,240,086/0861978001.jpg
93747,859423001,262,1010023,72,2,2,2,57,1016,232,085/0859423001.jpg
4703,485691007,297,1010017,73,4,2,4,72,1017,63,048/0485691007.jpg
59259,722844007,259,1010004,73,4,2,4,44,1006,74,072/0722844007.jpg
44004,678792002,259,1010024,72,2,2,4,77,1014,333,067/0678792002.jpg
53513,704758023,255,1010014,10,3,9,26,49,1001,203,070/0704758023.jpg
82457,808684003,92,1010016,5,5,15,1,64,1020,36,080/0808684003.jpg
25509,613251001,262,1010001,71,1,2,4,41,1007,70,061/0613251001.jpg
16542,570004029,257,1010016,21,3,8,3,26,1002,353,057/0570004029.jpg
30343,627769009,261,1010016,8,4,12,4,45,1007,268,062/0627769009.jpg
85168,818234002,254,1010014,10,3,9,4,76,1005,58,081/0818234002.jpg
32125,634009009,253,1010014,9,4,5,26,5,1005,61,063/0634009009.jpg
55530,710877020,272,1010016,19,4,20,3,21,1009,136,071/0710877020.jpg
66030,746329003,275,1010001,11,1,9,1,15,1012,67,074/0746329003.jpg
22817,600197002,258,1010004,9,4,5,1,15,1010,274,060/0600197002.jpg
81911,806657002,302,1010016,73,4,2,3,26,1021,105,080/0806657002.jpg
37376,653409002,263,1010016,19,4,20,1,18,1008,136,065/0653409002.jpg
54336,707269001,-1,1010010,6,1,12,1,61,1017,295,070/0707269001.jpg
101487,897080002,265,1010016,73,4,2,2,50,1013,390,089/0897080002.jpg
91106,846607008,262,1010016,93,4,19,4,45,1007,134,084/0846607008.jpg
98309,878604004,252,1010016,9,4,5,2,50,1005,62,087/0878604004.jpg
17674,575347014,302,1010016,10,3,9,3,26,1021,253,057/0575347014.jpg
44185,679285002,306,1010016,52,2,4,1,61,1017,166,067/0679285002.jpg
89654,839314001,86,1010009,9,4,5,4,42,1020,26,083/0839314001.jpg
78907,796003001,252,1010016,10,3,9,2,50,1005,138,079/0796003001.jpg
1557,357792006,81,1010016,6,1,12,1,66,1019,380,035/0357792006.jpg
5827,500362002,262,1010016,73,4,2,4,45,1007,11,050/0500362002.jpg
7988,519524002,299,1010001,81,3,7,4,43,1018,334,051/0519524002.jpg
91820,851354002,265,1010008,73,4,2,4,77,1005,256,085/0851354002.jpg
74351,776716001,262,1010016,9,4,5,1,97,1001,193,077/0776716001.jpg
62088,735122001,265,1010001,91,1,12,1,15,1013,148,073/0735122001.jpg
42359,672460003,272,1010016,19,2,20,4,77,1009,224,067/0672460003.jpg
39396,661307002,265,1010016,43,4,18,1,16,1002,319,066/0661307002.jpg
38135,656649007,273,1010010,6,1,-1,26,5,1005,192,065/0656649007.jpg
17490,574117006,252,1010026,51,3,4,2,53,1003,170,057/0574117006.jpg
13210,556849016,272,1010023,7,2,12,4,76,1016,375,055/0556849016.jpg
13696,559601002,59,1010021,9,4,5,1,60,1018,302,055/0559601002.jpg
70552,760960001,70,1010016,5,5,15,1,66,1019,36,076/0760960001.jpg
19981,586530001,268,1010023,73,4,2,1,8,1009,324,058/0586530001.jpg
69361,757151001,265,1010001,10,3,9,4,77,1005,197,075/0757151001.jpg
49700,695182007,272,1010014,73,4,2,4,46,1005,190,069/0695182007.jpg
36179,649551015,80,1010022,42,5,18,2,52,1019,93,064/0649551015.jpg
81033,804496002,256,1010016,15,4,1,1,15,1005,318,080/0804496002.jpg
75322,780888001,74,1010016,51,3,4,4,43,1019,144,078/0780888001.jpg
49396,694659019,69,1010008,10,3,9,4,45,1019,132,069/0694659019.jpg
9462,533388008,254,1010016,73,2,7,26,22,1005,385,053/0533388008.jpg
31863,633350001,75,1010010,8,4,12,4,45,1019,0,063/0633350001.jpg
580,265069026,255,1010016,81,3,7,4,72,1002,281,026/0265069026.jpg
44307,679687047,302,1010013,81,3,7,4,79,1021,332,067/0679687047.jpg
97056,872705001,272,1010016,9,4,5,26,49,1001,203,087/0872705001.jpg
14396,562657007,67,1010016,17,2,13,1,65,1019,210,056/0562657007.jpg
61437,733166001,297,1010001,9,4,5,1,62,1017,57,073/0733166001.jpg
95073,865392001,255,1010001,11,1,9,4,40,1005,71,086/0865392001.jpg
42731,673905001,90,1010016,9,4,5,1,64,1020,302,067/0673905001.jpg
73060,770315023,254,1010016,83,4,7,1,11,1005,46,077/0770315023.jpg
17264,573410005,306,1010005,10,3,9,26,5,1005,323,057/0573410005.jpg
98671,880333004,254,1010016,9,4,5,2,53,1005,62,088/0880333004.jpg
74047,774774001,254,1010016,10,3,9,1,15,1005,104,077/0774774001.jpg
77311,788828002,297,1010002,51,1,4,4,44,1017,166,078/0788828002.jpg
40851,665734005,258,1010001,9,4,5,2,53,1010,227,066/0665734005.jpg
28860,624134001,259,1010004,71,3,2,2,53,1010,247,062/0624134001.jpg
33988,640237001,275,1010007,71,1,2,2,53,1012,35,064/0640237001.jpg
76906,787053001,262,1010016,17,2,13,1,19,1007,352,078/0787053001.jpg
13619,559069007,308,1010010,73,4,2,4,77,1003,54,055/0559069007.jpg
91284,848681007,275,1010001,51,1,4,2,50,1009,376,084/0848681007.jpg
24987,611144015,252,1010015,11,1,9,4,76,1003,45,061/0611144015.jpg
38538,657933001,272,1010016,9,4,5,1,15,1009,150,065/0657933001.jpg
24932,610983002,74,1010016,53,4,4,1,66,1019,169,061/0610983002.jpg
69914,758713004,253,1010016,93,4,19,2,53,1010,273,075/0758713004.jpg
77856,791492003,255,1010015,7,1,12,4,46,1005,194,079/0791492003.jpg
74186,775575002,275,1010001,31,1,3,1,18,1009,43,077/0775575002.jpg
26682,617764001,254,1010004,73,4,2,1,2,1010,324,061/0617764001.jpg
15264,566288002,81,1010016,52,7,4,4,43,1019,316,056/0566288002.jpg
68641,754932002,264,1010016,73,4,2,3,23,1008,47,075/0754932002.jpg
45310,682848002,272,1010023,73,2,2,1,57,1016,208,068/0682848002.jpg
84892,817161002,274,1010001,19,4,20,4,47,1025,82,081/0817161002.jpg
97726,875728001,272,1010023,72,5,2,2,53,1009,390,087/0875728001.jpg
10992,544777002,286,1010016,9,4,5,3,26,1017,253,054/0544777002.jpg
69667,757901001,57,1010016,20,5,8,4,43,1018,205,075/0757901001.jpg
43154,675517001,252,1010017,73,4,2,4,47,1003,190,067/0675517001.jpg
79245,796939001,273,1010017,17,2,13,4,44,1002,237,079/0796939001.jpg
41213,667534004,265,1010016,9,4,5,1,16,1002,1,066/0667534004.jpg
97931,876367001,265,1010001,9,4,5,2,50,1013,116,087/0876367001.jpg
78374,793749001,74,1010016,9,4,5,4,43,1019,205,079/0793749001.jpg
79413,797594001,270,1010016,9,4,5,4,44,1002,62,079/0797594001.jpg
30358,628327008,273,1010010,8,4,12,4,79,1002,373,062/0628327008.jpg
22697,599718022,274,1010016,17,4,13,1,6,1025,261,059/0599718022.jpg
76481,785071003,255,1010016,19,4,20,2,50,1001,257,078/0785071003.jpg
82492,808796001,255,1010001,72,2,2,4,41,1005,9,080/0808796001.jpg
89038,835727002,77,1010016,5,5,15,3,25,1019,223,083/0835727002.jpg
88672,834234006,272,1010001,92,2,19,4,40,1006,60,083/0834234006.jpg
71470,763988006,272,1010016,10,3,9,3,26,1002,104,076/0763988006.jpg
78073,792299003,272,1010014,9,4,5,4,47,1005,100,079/0792299003.jpg
73058,770315019,254,1010001,9,4,5,1,11,1005,230,077/0770315019.jpg
53903,706016016,272,1010016,73,7,2,2,53,1009,284,070/0706016016.jpg
6346,504881004,267,1010001,8,4,12,4,44,1002,10,050/0504881004.jpg
80461,802064001,66,1010002,51,1,4,4,43,1019,242,080/0802064001.jpg
28597,623564005,252,1010010,12,1,11,1,15,1005,248,062/0623564005.jpg
102390,903728001,262,1010016,11,1,9,1,19,1007,168,090/0903728001.jpg
7639,516000002,255,1010010,9,4,5,1,11,1005,304,051/0516000002.jpg
66217,747148001,274,1010016,51,1,4,4,44,1002,314,074/0747148001.jpg
13445,558370003,258,1010016,52,5,4,1,14,1013,191,055/0558370003.jpg
61928,734645001,274,1010023,72,2,2,4,40,1006,283,073/0734645001.jpg
83977,814246001,253,1010016,10,3,9,1,15,1005,125,081/0814246001.jpg
88689,834333004,89,1010016,17,4,13,3,27,1020,346,083/0834333004.jpg
76679,785949016,253,1010001,73,4,2,4,72,1017,277,078/0785949016.jpg
47159,688037004,306,1010016,73,4,2,1,61,1017,277,068/0688037004.jpg
98113,877505002,75,1010001,51,1,4,4,45,1019,242,087/0877505002.jpg
95485,866657002,286,1010010,8,4,12,1,61,1017,40,086/0866657002.jpg
36867,652000004,252,1010001,11,1,9,4,76,1005,45,065/0652000004.jpg
67237,750398005,252,1010016,11,1,9,1,6,1003,154,075/0750398005.jpg
33336,638414001,254,1010001,73,4,2,1,8,1010,324,063/0638414001.jpg
71161,762996002,70,1010009,5,5,15,3,25,1019,223,076/0762996002.jpg
41488,669359001,265,1010001,6,1,12,2,50,1013,131,066/0669359001.jpg
82081,807242020,302,1010001,9,4,5,1,62,1021,57,080/0807242020.jpg
80985,804010001,262,1010016,9,4,5,1,82,1001,193,080/0804010001.jpg
70570,760988001,77,1010016,5,5,15,1,66,1019,36,076/0760988001.jpg
6896,509015006,265,1010016,72,2,2,1,8,1005,359,050/0509015006.jpg
28737,623934003,91,1010016,9,4,5,3,27,1020,98,062/0623934003.jpg
57022,715524003,306,1010021,42,7,18,1,61,1017,140,071/0715524003.jpg
61331,732945001,252,1010010,7,1,12,1,15,1003,154,073/0732945001.jpg
81257,805011011,306,1010005,8,4,-1,26,5,1005,236,080/0805011011.jpg
67894,752627001,92,1010016,9,4,5,1,64,1020,188,075/0752627001.jpg
92346,853472001,95,1010016,22,7,8,1,64,1020,122,085/0853472001.jpg
77902,791557004,265,1010001,73,4,2,4,76,1005,256,079/0791557004.jpg
81510,805914001,254,1010017,11,3,9,1,2,1005,125,080/0805914001.jpg
74170,775437001,70,1010016,5,5,15,1,66,1019,36,077/0775437001.jpg
67800,752280002,255,1010017,73,4,2,4,46,1005,74,075/0752280002.jpg
23566,605939002,275,1010016,19,4,20,1,11,1012,136,060/0605939002.jpg
2731,425639007,252,1010016,43,4,18,2,50,1005,83,042/0425639007.jpg
32781,636420002,275,1010001,71,3,2,1,15,1012,294,063/0636420002.jpg
100447,890260001,252,1010018,6,3,-1,4,46,1005,62,089/0890260001.jpg
9325,532612003,272,1010001,11,1,9,1,15,1009,363,053/0532612003.jpg
24715,610333001,91,1010016,9,4,5,4,42,1020,27,061/0610333001.jpg
41242,667772002,252,1010022,9,4,5,3,24,1001,345,066/0667772002.jpg
53493,704720008,306,1010021,42,2,18,1,61,1017,171,070/0704720008.jpg
19184,582695001,286,1010004,53,4,18,3,26,1017,50,058/0582695001.jpg
14931,564786001,306,1010016,9,4,5,26,5,1005,156,056/0564786001.jpg
80605,802559002,275,1010016,6,1,12,1,15,1012,67,080/0802559002.jpg
11188,546335002,265,1010021,9,4,5,1,11,1013,52,054/0546335002.jpg
73498,772090001,265,1010016,22,4,8,1,15,1013,358,077/0772090001.jpg
750,291338022,304,1010026,51,3,4,4,79,1021,260,029/0291338022.jpg
94408,862379003,306,1010016,17,2,13,26,5,1005,111,086/0862379003.jpg
32672,635957006,252,1010021,31,1,3,2,53,1003,31,063/0635957006.jpg
69838,758391001,259,1010017,72,3,2,1,15,1010,270,075/0758391001.jpg
46675,686419001,253,1010012,52,5,4,4,79,1017,33,068/0686419001.jpg
37779,654984001,91,1010002,9,4,5,1,64,1020,302,065/0654984001.jpg
16053,568711001,255,1010016,9,4,5,2,53,1005,187,056/0568711001.jpg
36064,649356009,252,1010022,73,4,2,4,46,1003,190,064/0649356009.jpg
82053,807241027,302,1010001,9,4,5,1,62,1021,57,080/0807241027.jpg
21628,594750001,268,1010023,72,2,2,4,41,1006,70,059/0594750001.jpg
54511,707983001,264,1010026,9,4,5,1,11,1008,327,070/0707983001.jpg
59003,721805008,66,1010016,13,1,11,2,52,1019,295,072/0721805008.jpg
68709,755264003,253,1010016,23,4,8,1,18,1010,75,075/0755264003.jpg
50191,696178011,257,1010016,73,4,2,4,41,1005,190,069/0696178011.jpg
13852,560125001,74,1010016,93,7,19,4,43,1019,337,056/0560125001.jpg
32419,635050002,258,1010022,12,1,11,1,15,1010,30,063/0635050002.jpg
29525,625613001,265,1010015,9,4,5,2,53,1013,227,062/0625613001.jpg
62238,735735006,255,1010017,13,2,11,2,70,1005,97,073/0735735006.jpg
25004,611146012,275,1010001,42,7,18,4,76,1003,18,061/0611146012.jpg
4610,485552004,297,1010001,12,1,1,4,72,1017,53,048/0485552004.jpg
25587,613529001,265,1010001,6,2,12,1,82,1023,375,061/0613529001.jpg
46310,685707001,263,1010016,9,4,5,1,82,1001,193,068/0685707001.jpg
3304,452851036,302,1010013,7,1,12,4,79,1021,311,045/0452851036.jpg
100020,888010003,265,1010016,9,4,5,1,18,1010,185,088/0888010003.jpg
25766,614644001,272,1010016,73,4,7,2,58,1009,11,061/0614644001.jpg
86090,822311011,286,1010016,52,7,4,1,61,1017,357,082/0822311011.jpg
104317,921347002,252,1010016,51,3,4,1,6,1005,220,092/0921347002.jpg
82430,808631001,91,1010016,9,4,5,1,64,1020,285,080/0808631001.jpg
96007,868641002,252,1010016,9,4,5,1,15,1003,68,086/0868641002.jpg
5289,493814025,308,1010017,73,4,2,4,72,1002,54,049/0493814025.jpg
70129,759501001,274,1010024,72,2,2,4,40,1006,283,075/0759501001.jpg
101461,896897001,268,1010023,71,1,2,4,76,1016,330,089/0896897001.jpg
66138,746861011,252,1010005,31,1,4,4,77,1003,79,074/0746861011.jpg
74734,778051002,272,1010016,13,2,11,1,15,1009,352,077/0778051002.jpg
93753,859458011,253,1010021,43,4,18,1,11,1005,276,085/0859458011.jpg
67989,752918006,265,1010008,30,5,3,4,77,1005,13,075/0752918006.jpg
55310,710109001,267,1010022,73,2,2,4,44,1006,283,071/0710109001.jpg
35410,646787004,274,1010016,32,7,3,4,76,1005,250,064/0646787004.jpg
79853,799409001,298,1010016,15,4,1,1,60,1018,57,079/0799409001.jpg
48755,693235002,256,1010001,81,1,7,4,44,1002,234,069/0693235002.jpg
90891,845241001,255,1010016,9,4,5,2,51,1002,62,084/0845241001.jpg
42957,674681001,253,1010016,9,4,5,2,51,1002,159,067/0674681001.jpg
50895,697686001,253,1010016,9,4,5,2,53,1010,227,069/0697686001.jpg
93630,859105004,274,1010016,51,3,4,1,15,1025,105,085/0859105004.jpg
25820,614968001,74,1010016,10,3,9,4,43,1019,132,061/0614968001.jpg
45283,682738002,255,1010008,73,4,2,4,77,1005,117,068/0682738002.jpg
74338,776532001,75,1010017,73,4,2,4,44,1019,377,077/0776532001.jpg
96880,872002001,275,1010023,71,1,2,2,53,1012,232,087/0872002001.jpg
56631,714582004,252,1010016,7,2,12,1,15,1003,336,071/0714582004.jpg
79116,796586001,255,1010008,61,3,6,4,76,1005,228,079/0796586001.jpg
41983,671026001,69,1010004,9,4,5,3,25,1019,98,067/0671026001.jpg
29944,626486004,274,1010023,7,2,12,3,56,1025,229,062/0626486004.jpg
57033,715550001,57,1010005,9,4,5,26,5,1019,124,071/0715550001.jpg
10189,539217011,259,1010016,9,4,5,3,23,1011,274,053/0539217011.jpg
33790,639835001,252,1010010,7,1,12,1,15,1003,248,063/0639835001.jpg
97350,873915001,265,1010016,9,4,5,2,50,1013,116,087/0873915001.jpg
47974,690691002,94,1010009,51,1,4,4,42,1020,37,069/0690691002.jpg
33352,638521006,286,1010016,42,2,18,1,61,1017,171,063/0638521006.jpg
88855,835008005,264,1010016,71,3,2,1,15,1008,220,083/0835008005.jpg
20361,588582001,306,1010016,73,4,2,1,61,1017,290,058/0588582001.jpg
17257,573398004,253,1010016,9,4,5,3,55,1005,187,057/0573398004.jpg
24854,610776035,255,1010001,73,4,2,1,16,1002,157,061/0610776035.jpg
18191,577986001,297,1010001,6,1,12,4,79,1017,375,057/0577986001.jpg
8166,520496002,308,1010008,7,1,12,1,6,1005,114,052/0520496002.jpg
42379,672519006,272,1010016,92,2,19,4,44,1002,135,067/0672519006.jpg
92071,852379003,272,1010010,9,4,12,3,26,1002,278,085/0852379003.jpg
100594,890985003,308,1010018,51,1,4,2,53,1005,376,089/0890985003.jpg
45763,684096003,265,1010016,9,4,5,1,8,1010,150,068/0684096003.jpg
73735,773075002,259,1010017,72,7,2,1,15,1010,120,077/0773075002.jpg
63132,738590006,275,1010001,9,4,5,1,15,1012,327,073/0738590006.jpg
553,260736025,255,1010016,71,3,2,4,72,1002,281,026/0260736025.jpg
24239,608610001,255,1010014,73,4,2,4,41,1005,11,060/0608610001.jpg
79460,797862002,255,1010008,10,3,9,3,55,1005,138,079/0797862002.jpg
10345,540382005,255,1010016,10,3,9,4,79,1002,92,054/0540382005.jpg
27367,619829004,265,1010001,9,4,5,1,11,1013,52,061/0619829004.jpg
61989,734915002,271,1010001,31,1,3,4,44,1005,314,073/0734915002.jpg
12412,553238009,252,1010010,7,1,12,3,26,1002,73,055/0553238009.jpg
26916,618509003,274,1010001,81,3,7,4,76,1005,300,061/0618509003.jpg
92830,855317001,255,1010008,51,1,4,2,50,1005,158,085/0855317001.jpg
95586,867107004,255,1010008,6,1,12,4,77,1005,317,086/0867107004.jpg
51372,698835001,304,1010016,9,4,5,4,79,1021,29,069/0698835001.jpg
77498,789770006,308,1010016,9,4,5,1,6,1005,230,078/0789770006.jpg
34057,640419003,258,1010016,72,2,2,1,8,1010,110,064/0640419003.jpg
38097,656496001,252,1010015,92,5,19,4,46,1003,273,065/0656496001.jpg
75678,782566002,265,1010016,19,2,20,2,53,1013,59,078/0782566002.jpg
101940,900684001,265,1010001,52,2,4,4,44,1002,158,090/0900684001.jpg
13818,559944002,252,1010008,83,7,7,4,47,1005,38,055/0559944002.jpg
66095,746648003,265,1010016,9,4,5,2,53,1013,291,074/0746648003.jpg
21232,592975021,272,1010004,9,4,5,1,11,1009,274,059/0592975021.jpg
102368,903581001,262,1010016,14,4,11,1,2,1007,366,090/0903581001.jpg
65614,745006003,91,1010016,32,2,11,1,64,1020,295,074/0745006003.jpg
89513,838754001,274,1010023,51,3,4,4,77,1016,330,083/0838754001.jpg
102394,903735001,265,1010001,9,4,5,2,53,1013,116,090/0903735001.jpg
82067,807241058,302,1010001,9,4,5,1,62,1021,57,080/0807241058.jpg
53463,704658003,302,1010001,73,4,2,4,44,1021,183,070/0704658003.jpg
15677,567728002,298,1010016,42,5,18,1,60,1018,78,056/0567728002.jpg
79183,796782001,274,1010016,19,2,20,4,77,1009,224,079/0796782001.jpg
59666,724436002,255,1010016,9,4,5,3,20,1005,345,072/0724436002.jpg
12523,553905004,265,1010021,73,4,2,4,76,1005,54,055/0553905004.jpg
20882,591094001,254,1010007,9,4,5,2,53,1005,187,059/0591094001.jpg
86307,823349001,268,1010023,71,1,2,4,76,1016,99,082/0823349001.jpg
24159,608155001,268,1010018,9,4,5,2,58,1009,227,060/0608155001.jpg
55038,708899003,254,1010021,52,2,4,2,50,1001,101,070/0708899003.jpg
34438,641863002,253,1010016,10,1,9,3,55,1005,2,064/0641863002.jpg
603,266875019,302,1010016,62,1,6,1,62,1021,260,026/0266875019.jpg
96564,870660001,265,1010016,10,3,9,1,8,1010,254,087/0870660001.jpg
63073,738470001,264,1010016,31,1,3,1,97,1001,79,073/0738470001.jpg
23780,607025001,272,1010023,72,1,2,3,56,1016,35,060/0607025001.jpg
77944,791657004,272,1010016,19,4,20,3,21,1009,6,079/0791657004.jpg
4453,484398026,273,1010014,9,4,5,26,5,1005,156,048/0484398026.jpg
76582,785675001,89,1010016,9,4,5,4,42,1020,205,078/0785675001.jpg
8998,528163001,264,1010013,9,4,5,3,23,1008,274,052/0528163001.jpg
95951,868407001,70,1010016,5,5,15,1,66,1019,348,086/0868407001.jpg
101676,898426001,70,1010016,5,5,15,1,66,1019,348,089/0898426001.jpg
67472,751285001,306,1010028,42,7,18,1,61,1017,140,075/0751285001.jpg
42459,672947004,265,1010001,73,4,2,1,2,1010,324,067/0672947004.jpg
10327,540269002,272,1010016,9,4,5,2,53,1009,354,054/0540269002.jpg
70413,760425001,262,1010016,17,4,11,2,53,1007,268,076/0760425001.jpg
67341,750565001,263,1010016,73,4,2,3,31,1007,74,075/0750565001.jpg
59877,725379002,68,1010016,3,3,15,1,66,1019,231,072/0725379002.jpg
13715,559616017,298,1010016,30,5,3,1,60,1018,95,055/0559616017.jpg
49339,694499001,272,1010001,9,4,5,26,49,1001,203,069/0694499001.jpg
86121,822382003,255,1010016,19,4,20,1,2,1005,276,082/0822382003.jpg
52810,702368010,78,1010016,71,1,2,2,52,1019,121,070/0702368010.jpg
57332,716516002,78,1010001,42,5,18,1,66,1019,199,071/0716516002.jpg
101133,894656001,296,1010016,8,4,-1,1,2,1005,318,089/0894656001.jpg
91825,851363002,272,1010016,42,5,18,1,6,1009,369,085/0851363002.jpg
50584,696991046,252,1010008,42,5,18,4,46,1003,146,069/0696991046.jpg
89356,837743001,262,1010016,12,1,11,1,19,1007,168,083/0837743001.jpg
83764,813302001,252,1010016,71,1,2,4,41,1003,9,081/0813302001.jpg
45681,684021063,255,1010014,71,1,2,3,55,1005,283,068/0684021063.jpg
103493,912255001,275,1010001,9,4,5,2,53,1012,116,091/0912255001.jpg
28119,622000001,272,1010010,7,1,12,4,44,1006,233,062/0622000001.jpg
75450,781660001,262,1010016,9,4,5,1,19,1007,22,078/0781660001.jpg
51688,699488003,270,1010001,91,3,19,4,40,1005,135,069/0699488003.jpg
95455,866583001,254,1010001,51,2,11,1,8,1005,14,086/0866583001.jpg
55189,709692002,264,1010004,22,7,8,2,53,1007,51,070/0709692002.jpg
6270,504151006,245,1010010,62,1,6,1,16,1003,23,050/0504151006.jpg
41639,669814003,87,1010009,9,4,5,4,42,1020,27,066/0669814003.jpg
21866,595696036,274,1010016,13,2,11,2,53,1025,229,059/0595696036.jpg
3199,450604007,293,1010017,73,7,2,1,62,1017,341,045/0450604007.jpg
99363,884017001,262,1010016,73,2,2,4,45,1007,9,088/0884017001.jpg
5820,500348002,259,1010004,9,4,5,2,53,1010,354,050/0500348002.jpg
6325,504414001,272,1010004,73,4,2,3,30,1001,386,050/0504414001.jpg
4634,485673022,286,1010001,73,7,2,4,72,1017,341,048/0485673022.jpg
23223,603582004,274,1010016,12,1,11,1,15,1025,241,060/0603582004.jpg
74958,779165001,258,1010016,10,3,9,4,76,1014,322,077/0779165001.jpg
89173,836551004,91,1010016,3,3,15,1,64,1020,351,083/0836551004.jpg
61448,733248001,265,1010016,13,1,11,1,18,1005,154,073/0733248001.jpg
66543,748419003,298,1010005,9,4,5,26,5,1019,161,074/0748419003.jpg
80945,803892002,253,1010016,9,4,5,26,5,1005,236,080/0803892002.jpg
64492,741932002,262,1010016,11,1,9,4,45,1007,141,074/0741932002.jpg
32325,634669009,286,1010016,43,4,18,1,61,1017,167,063/0634669009.jpg
70245,759896004,254,1010010,10,3,9,4,44,1006,76,075/0759896004.jpg
25505,613246002,272,1010023,7,2,12,1,15,1009,30,061/0613246002.jpg
94394,862319001,265,1010001,12,1,11,1,2,1010,67,086/0862319001.jpg
99539,885074001,77,1010016,5,5,15,1,66,1019,348,088/0885074001.jpg
17254,573390001,286,1010016,9,4,5,1,61,1017,95,057/0573390001.jpg
51406,698899003,253,1010022,9,4,5,1,15,1010,327,069/0698899003.jpg
53000,702932006,255,1010016,71,3,2,3,23,1003,381,070/0702932006.jpg
43832,678321003,253,1010016,9,4,5,4,79,1002,219,067/0678321003.jpg
97298,873592001,274,1010016,9,4,5,1,6,1005,68,087/0873592001.jpg
3540,457135001,262,1010016,9,4,5,2,53,1007,187,045/0457135001.jpg
60718,730570022,308,1010008,43,4,18,3,55,1005,146,073/0730570022.jpg
7539,515136005,245,1010010,14,2,1,3,23,1003,263,051/0515136005.jpg
69622,757812002,255,1010016,9,4,5,3,55,1005,100,075/0757812002.jpg
38835,659204001,265,1010021,9,4,5,1,14,1013,150,065/0659204001.jpg
88161,831777002,253,1010016,9,4,5,1,15,1010,358,083/0831777002.jpg
15656,567697002,262,1010005,42,7,18,4,45,1007,94,056/0567697002.jpg
93765,859614001,77,1010016,5,5,15,1,66,1019,348,085/0859614001.jpg
99293,883502001,94,1010016,9,4,5,4,42,1020,26,088/0883502001.jpg
99553,885199004,275,1010001,63,5,6,1,18,1005,46,088/0885199004.jpg
46167,685532002,272,1010004,4,2,15,1,18,1005,336,068/0685532002.jpg
87536,828411001,252,1010021,10,3,9,4,77,1003,58,082/0828411001.jpg
581,265071012,255,1010016,10,3,9,4,72,1002,361,026/0265071012.jpg
67770,752077001,94,1010016,9,4,5,4,42,1020,205,075/0752077001.jpg
22847,600380003,59,1010016,19,4,20,1,60,1018,93,060/0600380003.jpg
37726,654668002,252,1010010,9,4,5,3,21,1003,345,065/0654668002.jpg
30060,626705002,272,1010016,13,2,11,4,46,1009,233,062/0626705002.jpg
10177,539189001,272,1010016,72,2,2,2,53,1009,70,053/0539189001.jpg
70642,761269003,254,1010017,10,3,9,1,6,1005,104,076/0761269003.jpg
59834,725216002,252,1010016,51,1,4,4,76,1003,79,072/0725216002.jpg
21034,591836001,274,1010016,9,4,5,4,44,1002,64,059/0591836001.jpg
15353,566592007,259,1010016,73,4,2,4,47,1011,11,056/0566592007.jpg
96758,871517008,259,1010004,9,4,5,2,53,1010,116,087/0871517008.jpg
83418,811958017,252,1010005,13,1,1,4,79,1002,86,081/0811958017.jpg
35133,645604002,272,1010023,9,4,5,4,40,1006,64,064/0645604002.jpg
88022,831193003,272,1010016,73,4,2,3,20,1009,46,083/0831193003.jpg
55142,709332002,265,1010023,72,2,2,2,53,1013,208,070/0709332002.jpg
29292,625090004,262,1010001,73,4,2,4,45,1007,11,062/0625090004.jpg
69460,757379001,252,1010001,7,1,12,4,77,1005,97,075/0757379001.jpg
89605,839086002,93,1010012,42,5,18,4,42,1020,296,083/0839086002.jpg
44192,679285018,306,1010016,43,4,6,1,61,1017,184,067/0679285018.jpg
92284,853186002,91,1010016,3,3,15,1,64,1020,351,085/0853186002.jpg
9270,531835002,245,1010016,9,4,5,2,53,1003,187,053/0531835002.jpg
88533,833485001,299,1010001,8,4,5,4,43,1018,155,083/0833485001.jpg
49242,694237003,270,1010016,73,4,2,4,40,1005,190,069/0694237003.jpg
37791,655043001,253,1010017,10,3,9,4,79,1002,197,065/0655043001.jpg
20231,587906001,299,1010017,10,3,9,4,43,1018,253,058/0587906001.jpg
74803,778303001,75,1010017,51,1,4,4,44,1019,242,077/0778303001.jpg
67088,749805003,274,1010023,71,1,2,4,76,1016,99,074/0749805003.jpg
58384,719655011,286,1010016,43,4,18,1,61,1017,167,071/0719655011.jpg
17186,573152007,255,1010010,9,4,5,1,2,1005,304,057/0573152007.jpg
24176,608213007,265,1010001,12,1,11,1,2,1010,363,060/0608213007.jpg
